법정동코드,시도명,시군구명,읍면동명,리명,순번,생성일자
1114013200,서울특별시,중구,충무로4가,,32,1998-09-14
1114013300,서울특별시,중구,충무로5가,,33,1998-09-14
1114013400,서울특별시,중구,인현동2가,,34,1998-09-14
1114013500,서울특별시,중구,예관동,,35,1998-09-14
1114013600,서울특별시,중구,묵정동,,36,1988-04-23
1114013700,서울특별시,중구,필동1가,,37,1988-04-23
1114013800,서울특별시,중구,필동2가,,38,1988-04-23
1114013900,서울특별시,중구,필동3가,,39,1988-04-23
1114014000,서울특별시,중구,남학동,,40,1988-04-23
1114014100,서울특별시,중구,주자동,,41,1988-04-23
1114014200,서울특별시,중구,예장동,,42,1988-04-23
1114014300,서울특별시,중구,장충동1가,,43,1988-04-23
1114014400,서울특별시,중구,장충동2가,,44,1988-04-23
1114014500,서울특별시,중구,광희동1가,,45,1988-04-23
1114014600,서울특별시,중구,광희동2가,,46,1988-04-23
1114014700,서울특별시,중구,쌍림동,,47,1988-04-23
1114014800,서울특별시,중구,을지로6가,,48,1988-04-23
1114014900,서울특별시,중구,을지로7가,,49,1988-04-23
1114015000,서울특별시,중구,을지로4가,,50,1988-04-23
1114015100,서울특별시,중구,을지로5가,,51,1988-04-23
1114015200,서울특별시,중구,주교동,,52,1988-04-23
1114015300,서울특별시,중구,방산동,,53,1988-04-23
1114015400,서울특별시,중구,오장동,,54,1998-09-14
1114015500,서울특별시,중구,을지로3가,,55,1988-04-23
1114015600,서울특별시,중구,입정동,,56,1988-04-23
1114015700,서울특별시,중구,산림동,,57,1988-04-23
1114015800,서울특별시,중구,충무로3가,,58,1988-04-23
1114015900,서울특별시,중구,초동,,59,1988-04-23
1114016000,서울특별시,중구,인현동1가,,60,1988-04-23
1114016100,서울특별시,중구,저동2가,,61,1988-04-23
1114016200,서울특별시,중구,신당동,,62,1988-04-23
1114016300,서울특별시,중구,흥인동,,63,1988-04-23
1114016400,서울특별시,중구,무학동,,64,1988-04-23
1114016500,서울특별시,중구,황학동,,65,1988-04-23
1114016600,서울특별시,중구,서소문동,,66,1988-04-23
1114016700,서울특별시,중구,정동,,67,1988-04-23
1114016800,서울특별시,중구,순화동,,68,1998-09-14
1114016900,서울특별시,중구,의주로1가,,69,1988-04-23
1114017000,서울특별시,중구,충정로1가,,70,1988-04-23
1114017100,서울특별시,중구,중림동,,71,1988-04-23
1114017200,서울특별시,중구,의주로2가,,72,1988-04-23
1114017300,서울특별시,중구,만리동1가,,73,1988-04-23
1114017400,서울특별시,중구,만리동2가,,74,1988-04-23
1117000000,서울특별시,용산구,,,3,1988-04-23
1117010100,서울특별시,용산구,후암동,,1,1988-04-23
1117010200,서울특별시,용산구,용산동2가,,2,1988-04-23
1117010300,서울특별시,용산구,용산동4가,,3,1988-04-23
1117010400,서울특별시,용산구,갈월동,,4,1988-04-23
1117010500,서울특별시,용산구,남영동,,5,1988-04-23
1117010600,서울특별시,용산구,용산동1가,,6,1988-04-23
1117010700,서울특별시,용산구,동자동,,7,1988-04-23
1117010800,서울특별시,용산구,서계동,,8,1988-04-23
1117010900,서울특별시,용산구,청파동1가,,9,1988-04-23
1117011000,서울특별시,용산구,청파동2가,,10,1988-04-23
1117011100,서울특별시,용산구,청파동3가,,11,1988-04-23
1117011200,서울특별시,용산구,원효로1가,,12,1988-04-23
1117011300,서울특별시,용산구,원효로2가,,13,1988-04-23
1117011400,서울특별시,용산구,신창동,,14,1988-04-23
1117011500,서울특별시,용산구,산천동,,15,1988-04-23
1117011600,서울특별시,용산구,청암동,,16,1988-04-23
1117011700,서울특별시,용산구,원효로3가,,17,1988-04-23
1117011800,서울특별시,용산구,원효로4가,,18,1988-04-23
1117011900,서울특별시,용산구,효창동,,19,1988-04-23
1117012000,서울특별시,용산구,도원동,,20,1988-04-23
1117012100,서울특별시,용산구,용문동,,21,1988-04-23
1117012200,서울특별시,용산구,문배동,,22,1988-04-23
1117012300,서울특별시,용산구,신계동,,23,1988-04-23
1117012400,서울특별시,용산구,한강로1가,,24,1988-04-23
1117012500,서울특별시,용산구,한강로2가,,25,1988-04-23
1117012600,서울특별시,용산구,용산동3가,,26,1988-04-23
1117012700,서울특별시,용산구,용산동5가,,27,1988-04-23
1117012800,서울특별시,용산구,한강로3가,,28,1988-04-23
1117012900,서울특별시,용산구,이촌동,,29,1988-04-23
1117013000,서울특별시,용산구,이태원동,,30,1988-04-23
1117013100,서울특별시,용산구,한남동,,31,1988-04-23
1117013200,서울특별시,용산구,동빙고동,,32,1988-04-23
1117013300,서울특별시,용산구,서빙고동,,33,1988-04-23
1117013400,서울특별시,용산구,주성동,,34,1988-04-23
1117013500,서울특별시,용산구,용산동6가,,35,1988-04-23
1117013600,서울특별시,용산구,보광동,,36,1988-04-23
1120000000,서울특별시,성동구,,,4,1988-04-23
1120010100,서울특별시,성동구,상왕십리동,,1,1988-04-23
1120010200,서울특별시,성동구,하왕십리동,,2,1988-04-23
1120010300,서울특별시,성동구,홍익동,,3,1988-04-23
1120010400,서울특별시,성동구,도선동,,4,1988-04-23
1120010500,서울특별시,성동구,마장동,,5,1988-04-23
1120010600,서울특별시,성동구,사근동,,6,1988-04-23
1120010700,서울특별시,성동구,행당동,,7,1988-04-23
1120010800,서울특별시,성동구,응봉동,,8,1988-04-23
1120010900,서울특별시,성동구,금호동1가,,9,1988-04-23
1120011000,서울특별시,성동구,금호동2가,,10,1988-04-23
1120011100,서울특별시,성동구,금호동3가,,11,1988-04-23
1120011200,서울특별시,성동구,금호동4가,,12,1988-04-23
1120011300,서울특별시,성동구,옥수동,,13,1988-04-23
1120011400,서울특별시,성동구,성수동1가,,14,1988-04-23
1120011500,서울특별시,성동구,성수동2가,,15,1988-04-23
1120011800,서울특별시,성동구,송정동,,16,1988-04-23
1120012200,서울특별시,성동구,용답동,,17,1988-04-23
1121500000,서울특별시,광진구,,,5,1995-03-01
1121510100,서울특별시,광진구,중곡동,,1,1995-03-01
1121510200,서울특별시,광진구,능동,,2,1995-03-01
1121510300,서울특별시,광진구,구의동,,3,1995-03-01
1121510400,서울특별시,광진구,광장동,,4,1995-03-01
1121510500,서울특별시,광진구,자양동,,5,1995-03-01
1121510700,서울특별시,광진구,화양동,,7,1995-03-01
1121510900,서울특별시,광진구,군자동,,9,1995-03-01
1123000000,서울특별시,동대문구,,,6,1988-04-23
1123010100,서울특별시,동대문구,신설동,,1,1988-04-23
1123010200,서울특별시,동대문구,용두동,,2,1988-04-23
1123010300,서울특별시,동대문구,제기동,,3,1988-04-23
1123010400,서울특별시,동대문구,전농동,,4,1988-04-23
1123010500,서울특별시,동대문구,답십리동,,5,1988-04-23
1123010600,서울특별시,동대문구,장안동,,6,1988-04-23
1123010700,서울특별시,동대문구,청량리동,,7,1988-04-23
1123010800,서울특별시,동대문구,회기동,,8,1988-04-23
1123010900,서울특별시,동대문구,휘경동,,9,1988-04-23
1123011000,서울특별시,동대문구,이문동,,10,1988-04-23
1126000000,서울특별시,중랑구,,,7,1988-04-23
1126010100,서울특별시,중랑구,면목동,,1,1988-04-23
1126010200,서울특별시,중랑구,상봉동,,2,1988-04-23
1126010300,서울특별시,중랑구,중화동,,3,1988-04-23
1126010400,서울특별시,중랑구,묵동,,4,1988-04-23
1126010500,서울특별시,중랑구,망우동,,5,1988-04-23
1126010600,서울특별시,중랑구,신내동,,6,1996-03-01
1129000000,서울특별시,성북구,,,8,1988-04-23
1129010100,서울특별시,성북구,성북동,,1,1988-04-23
1129010200,서울특별시,성북구,성북동1가,,2,1988-04-23
1129010300,서울특별시,성북구,돈암동,,3,1988-04-23
1129010400,서울특별시,성북구,동소문동1가,,4,1988-04-23
1129010500,서울특별시,성북구,동소문동2가,,5,1988-04-23
1129010600,서울특별시,성북구,동소문동3가,,6,1988-04-23
1129010700,서울특별시,성북구,동소문동4가,,7,1988-04-23
1129010800,서울특별시,성북구,동소문동5가,,8,1988-04-23
1129010900,서울특별시,성북구,동소문동6가,,9,1988-04-23
1129011000,서울특별시,성북구,동소문동7가,,10,1988-04-23
1129011100,서울특별시,성북구,삼선동1가,,11,1988-04-23
1129011200,서울특별시,성북구,삼선동2가,,12,1988-04-23
1129011300,서울특별시,성북구,삼선동3가,,13,1988-04-23
1129011400,서울특별시,성북구,삼선동4가,,14,1988-04-23
1129011500,서울특별시,성북구,삼선동5가,,15,1988-04-23
1129011600,서울특별시,성북구,동선동1가,,16,1988-04-23
1129011700,서울특별시,성북구,동선동2가,,17,1988-04-23
1129011800,서울특별시,성북구,동선동3가,,18,1988-04-23
1129011900,서울특별시,성북구,동선동4가,,19,1988-04-23
1129012000,서울특별시,성북구,동선동5가,,20,1988-04-23
1129012100,서울특별시,성북구,안암동1가,,21,1988-04-23
1129012200,서울특별시,성북구,안암동2가,,22,1988-04-23
1129012300,서울특별시,성북구,안암동3가,,23,1988-04-23
1129012400,서울특별시,성북구,안암동4가,,24,1988-04-23
1129012500,서울특별시,성북구,안암동5가,,25,1988-04-23
1129012600,서울특별시,성북구,보문동4가,,26,1988-04-23
1129012700,서울특별시,성북구,보문동5가,,27,1988-04-23
1129012800,서울특별시,성북구,보문동6가,,28,1988-04-23
1129012900,서울특별시,성북구,보문동7가,,29,1988-04-23
1129013000,서울특별시,성북구,보문동1가,,30,1988-04-23
1129013100,서울특별시,성북구,보문동2가,,31,1988-04-23
1129013200,서울특별시,성북구,보문동3가,,32,1988-04-23
1129013300,서울특별시,성북구,정릉동,,33,1988-04-23
1129013400,서울특별시,성북구,길음동,,34,1988-04-23
1129013500,서울특별시,성북구,종암동,,35,1988-04-23
1129013600,서울특별시,성북구,하월곡동,,36,1989-04-27
1129013700,서울특별시,성북구,상월곡동,,37,1988-04-23
1129013800,서울특별시,성북구,장위동,,38,1988-04-23
1129013900,서울특별시,성북구,석관동,,39,1988-04-23
1130500000,서울특별시,강북구,,,9,1995-03-01
1130510100,서울특별시,강북구,미아동,,1,1998-09-28
1130510200,서울특별시,강북구,번동,,2,1995-03-01
1130510300,서울특별시,강북구,수유동,,3,1995-03-01
1130510400,서울특별시,강북구,우이동,,4,1995-03-01
1132000000,서울특별시,도봉구,,,10,1988-04-23
1132010500,서울특별시,도봉구,쌍문동,,1,1988-04-23
1132010600,서울특별시,도봉구,방학동,,2,1988-04-23
1132010700,서울특별시,도봉구,창동,,3,1989-01-01
1132010800,서울특별시,도봉구,도봉동,,4,1989-01-01
1135000000,서울특별시,노원구,,,11,1988-04-23
1135010200,서울특별시,노원구,월계동,,1,1988-04-23
1135010300,서울특별시,노원구,공릉동,,2,1988-04-23
1135010400,서울특별시,노원구,하계동,,3,1989-09-01
1135010500,서울특별시,노원구,상계동,,4,1992-07-01
1135010600,서울특별시,노원구,중계동,,5,1992-07-01
1138000000,서울특별시,은평구,,,12,1988-04-23
1138010100,서울특별시,은평구,수색동,,1,1988-04-23
1138010200,서울특별시,은평구,녹번동,,2,1988-04-23
1138010300,서울특별시,은평구,불광동,,3,1988-04-23
1138010400,서울특별시,은평구,갈현동,,4,1989-06-01
1138010500,서울특별시,은평구,구산동,,5,1988-04-23
1138010600,서울특별시,은평구,대조동,,6,1988-04-23
1138010700,서울특별시,은평구,응암동,,7,1988-04-23
1138010800,서울특별시,은평구,역촌동,,8,1988-04-23
1138010900,서울특별시,은평구,신사동,,9,1989-09-01
1138011000,서울특별시,은평구,증산동,,10,1988-04-23
1138011400,서울특별시,은평구,진관동,,0,2007-08-13
1141000000,서울특별시,서대문구,,,13,1988-04-23
1141010100,서울특별시,서대문구,충정로2가,,1,1988-04-23
1141010200,서울특별시,서대문구,충정로3가,,2,1988-04-23
1141010300,서울특별시,서대문구,합동,,3,1988-04-23
1141010400,서울특별시,서대문구,미근동,,4,1988-04-23
1141010500,서울특별시,서대문구,냉천동,,5,1988-04-23
1141010600,서울특별시,서대문구,천연동,,6,1988-04-23
1141010700,서울특별시,서대문구,옥천동,,7,1988-04-23
1141010800,서울특별시,서대문구,영천동,,8,1988-04-23
1141010900,서울특별시,서대문구,현저동,,9,1998-10-01
1141011000,서울특별시,서대문구,북아현동,,10,1988-04-23
1141011100,서울특별시,서대문구,홍제동,,11,1988-04-23
1141011200,서울특별시,서대문구,대현동,,12,1988-04-23
1141011300,서울특별시,서대문구,대신동,,13,1988-04-23
1141011400,서울특별시,서대문구,신촌동,,14,1988-04-23
1141011500,서울특별시,서대문구,봉원동,,15,1988-04-23
1141011600,서울특별시,서대문구,창천동,,16,1988-04-23
1141011700,서울특별시,서대문구,연희동,,17,1988-04-23
1141011800,서울특별시,서대문구,홍은동,,18,1988-04-23
1141011900,서울특별시,서대문구,북가좌동,,19,1988-04-23
1141012000,서울특별시,서대문구,남가좌동,,20,1988-04-23
1144000000,서울특별시,마포구,,,14,1988-04-23
1144010100,서울특별시,마포구,아현동,,1,1988-04-23
1144010200,서울특별시,마포구,공덕동,,2,1988-04-23
1144010300,서울특별시,마포구,신공덕동,,3,1988-04-23
1144010400,서울특별시,마포구,도화동,,4,1988-04-23
1144010500,서울특별시,마포구,용강동,,5,1988-04-23
1144010600,서울특별시,마포구,토정동,,6,1988-04-23
1144010700,서울특별시,마포구,마포동,,7,1988-04-23
1144010800,서울특별시,마포구,대흥동,,8,1988-04-23
1144010900,서울특별시,마포구,염리동,,9,1988-04-23
1144011000,서울특별시,마포구,노고산동,,10,1988-04-23
1144011100,서울특별시,마포구,신수동,,11,1988-04-23
1144011200,서울특별시,마포구,현석동,,12,1988-04-23
1144011300,서울특별시,마포구,구수동,,13,1988-04-23
1144011400,서울특별시,마포구,창전동,,14,1988-04-23
1144011500,서울특별시,마포구,상수동,,15,1988-04-23
1144011600,서울특별시,마포구,하중동,,16,1988-04-23
1144011700,서울특별시,마포구,신정동,,17,1988-04-23
1144011800,서울특별시,마포구,당인동,,18,1988-04-23
1144012000,서울특별시,마포구,서교동,,19,1988-04-23
1144012100,서울특별시,마포구,동교동,,20,1988-04-23
1144012200,서울특별시,마포구,합정동,,21,1988-04-23
1144012300,서울특별시,마포구,망원동,,22,1988-04-23
1144012400,서울특별시,마포구,연남동,,23,1988-04-23
1144012500,서울특별시,마포구,성산동,,24,1988-04-23
1144012600,서울특별시,마포구,중동,,25,1988-04-23
1144012700,서울특별시,마포구,상암동,,26,1988-04-23
1147000000,서울특별시,양천구,,,15,1988-04-23
1147010100,서울특별시,양천구,신정동,,1,1988-04-23
1147010200,서울특별시,양천구,목동,,2,1988-04-23
1147010300,서울특별시,양천구,신월동,,3,1988-04-23
1150000000,서울특별시,강서구,,,16,1988-04-23
1150010100,서울특별시,강서구,염창동,,1,1988-04-23
1150010200,서울특별시,강서구,등촌동,,2,1988-04-23
1150010300,서울특별시,강서구,화곡동,,3,1988-04-23
1150010400,서울특별시,강서구,가양동,,4,1993-04-01
1150010500,서울특별시,강서구,마곡동,,5,1993-04-01
1150010600,서울특별시,강서구,내발산동,,6,1989-09-01
1150010700,서울특별시,강서구,외발산동,,7,1989-09-01
1150010800,서울특별시,강서구,공항동,,8,1988-04-23
1150010900,서울특별시,강서구,방화동,,9,1988-04-23
1150011000,서울특별시,강서구,개화동,,10,1988-04-23
1150011100,서울특별시,강서구,과해동,,11,1998-12-01
1150011200,서울특별시,강서구,오곡동,,12,1998-12-01
1150011300,서울특별시,강서구,오쇠동,,13,1998-12-01
1153000000,서울특별시,구로구,,,17,1988-04-23
1153010100,서울특별시,구로구,신도림동,,1,1988-04-23
1153010200,서울특별시,구로구,구로동,,2,1988-04-23
1153010300,서울특별시,구로구,가리봉동,,3,1988-04-23
1153010600,서울특별시,구로구,고척동,,4,1988-04-23
1153010700,서울특별시,구로구,개봉동,,5,1988-04-23
1153010800,서울특별시,구로구,오류동,,6,1988-04-23
1153010900,서울특별시,구로구,궁동,,7,1988-07-01
1153011000,서울특별시,구로구,온수동,,8,1988-07-01
1153011100,서울특별시,구로구,천왕동,,9,1988-04-23
1153011200,서울특별시,구로구,항동,,10,1988-04-23
1154500000,서울특별시,금천구,,,18,1995-03-01
1154510100,서울특별시,금천구,가산동,,1,1995-03-01
1154510200,서울특별시,금천구,독산동,,2,1995-03-01
1154510300,서울특별시,금천구,시흥동,,3,1995-03-01
1156000000,서울특별시,영등포구,,,19,1988-04-23
1156010100,서울특별시,영등포구,영등포동,,1,1988-04-23
1156010200,서울특별시,영등포구,영등포동1가,,2,1988-04-23
1156010300,서울특별시,영등포구,영등포동2가,,3,1988-04-23
1156010400,서울특별시,영등포구,영등포동3가,,4,1988-04-23
1156010500,서울특별시,영등포구,영등포동4가,,5,1988-04-23
1156010600,서울특별시,영등포구,영등포동5가,,6,1988-04-23
1156010700,서울특별시,영등포구,영등포동6가,,7,1988-04-23
1156010800,서울특별시,영등포구,영등포동7가,,8,1988-04-23
1156010900,서울특별시,영등포구,영등포동8가,,9,1988-04-23
1156011000,서울특별시,영등포구,여의도동,,10,1988-04-23
1156011100,서울특별시,영등포구,당산동1가,,11,1988-04-23
1156011200,서울특별시,영등포구,당산동2가,,12,1988-04-23
1156011300,서울특별시,영등포구,당산동3가,,13,1988-04-23
1156011400,서울특별시,영등포구,당산동4가,,14,1988-04-23
1156011500,서울특별시,영등포구,당산동5가,,15,1988-04-23
1156011600,서울특별시,영등포구,당산동6가,,16,1988-04-23
1156011700,서울특별시,영등포구,당산동,,17,1988-04-23
1156011800,서울특별시,영등포구,도림동,,18,1988-04-23
1156011900,서울특별시,영등포구,문래동1가,,19,1988-04-23
1156012000,서울특별시,영등포구,문래동2가,,20,1988-04-23
1156012100,서울특별시,영등포구,문래동3가,,21,1988-04-23
1156012200,서울특별시,영등포구,문래동4가,,22,1988-04-23
1156012300,서울특별시,영등포구,문래동5가,,23,1988-04-23
1156012400,서울특별시,영등포구,문래동6가,,24,1988-04-23
1156012500,서울특별시,영등포구,양평동1가,,25,1988-04-23
1156012600,서울특별시,영등포구,양평동2가,,26,1988-04-23
1156012700,서울특별시,영등포구,양평동3가,,27,1991-09-07
1156012800,서울특별시,영등포구,양평동4가,,28,1988-04-23
1156012900,서울특별시,영등포구,양평동5가,,29,1988-04-23
1156013000,서울특별시,영등포구,양평동6가,,30,1988-04-23
1156013100,서울특별시,영등포구,양화동,,31,1988-04-23
1156013200,서울특별시,영등포구,신길동,,32,1988-04-23
1156013300,서울특별시,영등포구,대림동,,33,1988-04-23
1156013400,서울특별시,영등포구,양평동,,34,1998-04-20
1159000000,서울특별시,동작구,,,20,1988-04-23
1159010100,서울특별시,동작구,노량진동,,1,1988-04-23
1159010200,서울특별시,동작구,상도동,,2,1988-04-23
1159010300,서울특별시,동작구,상도1동,,3,1988-04-23
1159010400,서울특별시,동작구,본동,,4,1988-04-23
1159010500,서울특별시,동작구,흑석동,,5,1988-04-23
1159010600,서울특별시,동작구,동작동,,6,1988-04-23
1159010700,서울특별시,동작구,사당동,,7,1988-04-23
1159010800,서울특별시,동작구,대방동,,8,1988-04-23
1159010900,서울특별시,동작구,신대방동,,9,1988-04-23
1162000000,서울특별시,관악구,,,21,1988-04-23
1162010100,서울특별시,관악구,봉천동,,1,1988-04-23
1162010200,서울특별시,관악구,신림동,,2,1988-04-23
1162010300,서울특별시,관악구,남현동,,3,1988-04-23
1165000000,서울특별시,서초구,,,22,1988-04-23
1165010100,서울특별시,서초구,방배동,,1,1989-04-27
1165010200,서울특별시,서초구,양재동,,2,1992-07-01
1165010300,서울특별시,서초구,우면동,,3,1992-07-01
1165010400,서울특별시,서초구,원지동,,4,1992-07-01
1165010600,서울특별시,서초구,잠원동,,5,1988-04-23
1165010700,서울특별시,서초구,반포동,,6,1988-04-23
1165010800,서울특별시,서초구,서초동,,7,1988-04-23
1165010900,서울특별시,서초구,내곡동,,8,1988-04-23
1165011000,서울특별시,서초구,염곡동,,9,1988-04-23
1165011100,서울특별시,서초구,신원동,,10,1988-04-23
1168000000,서울특별시,강남구,,,23,1988-04-23
1168010100,서울특별시,강남구,역삼동,,1,1988-04-23
1168010300,서울특별시,강남구,개포동,,3,1988-04-23
1168010400,서울특별시,강남구,청담동,,4,1988-07-01
1168010500,서울특별시,강남구,삼성동,,5,1988-04-23
1168010600,서울특별시,강남구,대치동,,6,1988-04-23
1168010700,서울특별시,강남구,신사동,,7,1988-04-23
1168010800,서울특별시,강남구,논현동,,8,1992-10-01
1168011000,서울특별시,강남구,압구정동,,9,1988-04-23
1168011100,서울특별시,강남구,세곡동,,10,1988-04-23
1168011200,서울특별시,강남구,자곡동,,11,1988-04-23
1168011300,서울특별시,강남구,율현동,,12,1988-04-23
1168011400,서울특별시,강남구,일원동,,13,1988-04-23
1168011500,서울특별시,강남구,수서동,,14,1992-10-01
1168011800,서울특별시,강남구,도곡동,,15,1989-01-01
1171000000,서울특별시,송파구,,,24,1988-04-23
